DayOfYear,DepTime,CRSDepTime,ArrTime,CRSArrTime,Unnamed: 0,DayOfWeek,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted
63,1043,1030,1215,1207,0,1,NW,294,N8933E,112.0,117.0,73.0,8.0,13,MEM,DTW,610,17.0,22.0,0,N,0
85,918,910,1189,1140,1,2,AA,2252,N5EKAA,211.0,170.0,127.0,49.0,8,JAC,ORD,1162,7.0,77.0,0,N,0
342,1118,1110,1257,1265,2,7,AA,2349,N7BYAA,139.0,155.0,114.0,-8.0,8,ORD,DFW,802,6.0,19.0,0,N,0
344,1281,1230,1363,1305,3,2,US,769,N450UW,82.0,75.0,52.0,58.0,51,PHL,BOS,280,4.0,26.0,0,N,0
242,1055,990,1114,1051,4,5,OH,5265,N918CA,59.0,61.0,42.0,63.0,65,CVG,LAN,258,4.0,13.0,0,N,0
9,941,910,1081,1060,5,3,WN,2453,N474WN,200.0,210.0,181.0,21.0,31,STL,PHX,1262,6.0,13.0,0,N,0
216,754,730,879,860,6,7,WN,3949,N458WN,125.0,130.0,100.0,19.0,24,SEA,SJC,697,3.0,22.0,0,N,0
239,1123,1070,1355,1320,7,2,CO,1558,N24729,172.0,190.0,148.0,35.0,53,IAH,DCA,1208,5.0,19.0,0,N,0
250,368,360,486,487,8,6,XE,2072,N11140,178.0,187.0,158.0,-1.0,8,RIC,IAH,1157,6.0,14.0,0,N,0
54,1155,995,1255,1090,9,6,DL,1150,N988DL,100.0,95.0,71.0,165.0,160,MCO,ATL,403,12.0,17.0,0,N,0
1,785,750,1128,1095,10,2,AA,1276,N5DVAA,223.0,225.0,201.0,33.0,35,SFO,STL,1736,3.0,19.0,0,N,0
194,811,805,1078,1085,11,6,WN,429,N389SW,147.0,160.0,136.0,-7.0,6,PHX,HOU,1020,4.0,7.0,0,N,0
185,901,890,958,955,13,4,WN,3326,N283WN,57.0,65.0,44.0,3.0,11,LAX,LAS,236,4.0,9.0,0,N,0
216,1224,1184,1381,1375,14,7,CO,1462,N33262,337.0,371.0,288.0,6.0,40,EWR,SAN,2425,6.0,43.0,0,N,0
53,784,720,868,790,15,5,9E,5789,87759E,144.0,130.0,110.0,78.0,64,CLE,MEM,622,12.0,22.0,0,N,0
256,648,625,814,801,16,5,F9,778,N912FR,106.0,116.0,82.0,13.0,23,LAS,DEN,629,7.0,17.0,0,N,0
80,697,680,773,761,17,4,NW,128,N8928E,76.0,81.0,50.0,12.0,17,MSP,ORD,334,5.0,21.0,0,N,0
176,1370,1245,118,1427,18,2,CO,1697,N14639,308.0,302.0,248.0,131.0,125,EWR,ABQ,1805,6.0,54.0,0,N,0
89,937,918,1229,1225,19,6,US,353,N649AW,172.0,187.0,146.0,4.0,19,PHX,MSP,1276,7.0,19.0,0,N,0
40,521,505,654,648,20,6,US,873,N740UW,313.0,323.0,297.0,6.0,16,DCA,LAS,2089,6.0,10.0,0,N,0
1,1111,1078,1287,1291,21,2,UA,95,N820UA,356.0,393.0,332.0,-4.0,33,EWR,SFO,2565,6.0,18.0,0,N,0
61,766,744,875,856,22,6,NW,215,N532US,289.0,292.0,267.0,19.0,22,DTW,SEA,1927,5.0,17.0,0,N,0
329,996,990,1074,1070,23,1,MQ,3418,N687MQ,78.0,80.0,60.0,4.0,6,CRP,DFW,354,10.0,8.0,0,N,0
35,447,430,513,495,24,1,WN,2387,N273WN,66.0,65.0,49.0,18.0,17,TUL,STL,351,10.0,7.0,0,N,0
243,332,320,371,369,25,6,YV,2802,N931LR,39.0,49.0,27.0,2.0,12,TUS,PHX,110,4.0,8.0,0,N,0
53,1069,1040,1220,1168,26,5,DL,1464,N927DA,91.0,68.0,55.0,52.0,29,PNS,ATL,272,14.0,22.0,0,N,0
276,1006,978,1043,1018,27,4,OO,5449,N284YV,37.0,40.0,21.0,25.0,28,SFO,SMF,86,4.0,12.0,0,N,0
322,590,565,769,741,28,1,DL,976,N958DL,119.0,116.0,91.0,28.0,25,MCI,ATL,692,8.0,20.0,0,N,0
192,1118,1021,1277,1163,29,4,YV,2656,N927LR,99.0,82.0,63.0,114.0,97,BHM,CLT,351,8.0,28.0,0,N,0
28,740,580,808,645,30,1,OO,3736,N236SW,68.0,65.0,49.0,163.0,160,TWF,SLC,175,12.0,7.0,0,N,0
350,435,420,558,540,31,1,MQ,3952,N905MQ,63.0,60.0,36.0,18.0,15,ORD,IND,177,4.0,23.0,0,N,0
17,1008,1002,1198,1194,32,4,XE,2110,N17159,130.0,132.0,106.0,4.0,6,COS,IAH,809,14.0,10.0,0,N,0
254,483,420,643,581,33,3,AS,494,N773AS,160.0,161.0,138.0,62.0,63,SEA,SAN,1050,3.0,19.0,0,N,0
203,1047,1004,1187,1143,34,1,CO,1635,N16732,320.0,319.0,285.0,44.0,43,EWR,PHX,2133,6.0,29.0,0,N,0
4,1213,1110,1285,1175,35,5,WN,1306,N346SW,72.0,65.0,57.0,110.0,103,BUR,SJC,296,9.0,6.0,0,N,0
354,893,880,968,950,36,5,AA,1463,N248AA,75.0,70.0,56.0,18.0,13,SAT,DFW,247,10.0,9.0,0,N,0
260,1155,1079,1220,1152,37,2,UA,1497,N490UA,125.0,133.0,108.0,68.0,76,DEN,GEG,836,5.0,12.0,0,N,0
184,1228,1218,1439,1427,38,3,F9,848,N801FR,151.0,149.0,129.0,12.0,10,SEA,DEN,1024,9.0,13.0,0,N,0
93,835,795,954,917,39,3,US,780,N942UW,299.0,302.0,281.0,37.0,40,CLT,LAS,1916,4.0,14.0,0,N,0
243,428,420,661,662,40,6,B6,110,N662JB,173.0,182.0,152.0,-1.0,8,MSY,JFK,1182,7.0,14.0,0,N,0
351,1129,1050,1266,1210,41,2,WN,3091,N419WN,137.0,160.0,115.0,56.0,79,PHL,MCO,861,4.0,18.0,0,N,0
104,1171,1125,1257,1235,42,7,WN,486,N676SW,86.0,110.0,64.0,22.0,46,CMH,PHL,405,11.0,11.0,0,N,0
142,455,445,599,602,43,3,OH,5618,N912CA,84.0,97.0,62.0,-3.0,10,MEM,CVG,403,2.0,20.0,0,N,0
170,1007,994,1176,1140,44,3,FL,621,N995AT,169.0,146.0,122.0,36.0,13,MCO,PHL,861,7.0,40.0,0,N,0
356,549,475,784,670,45,7,CO,1626,N77296,415.0,375.0,351.0,114.0,74,EWR,SAN,2425,3.0,61.0,0,N,0
366,980,970,1043,1035,46,3,MQ,4521,N612MQ,63.0,65.0,42.0,8.0,10,CWA,ORD,213,13.0,8.0,0,N,0
217,1164,1128,1278,1240,47,1,DL,685,N925DL,114.0,112.0,83.0,38.0,36,ORF,ATL,516,13.0,18.0,0,N,0
350,400,380,596,587,48,1,OH,6654,N451CA,136.0,147.0,114.0,9.0,20,IAH,CVG,871,3.0,19.0,0,N,0
66,469,462,595,583,49,4,OO,6447,N772SK,186.0,181.0,157.0,12.0,7,HSV,DEN,1048,18.0,11.0,0,N,0
266,723,715,821,810,50,1,AA,1514,N430AA,98.0,95.0,78.0,11.0,8,DFW,BHM,597,4.0,16.0,0,N,0
142,1032,960,1286,1195,51,3,WN,3077,N330SW,194.0,175.0,159.0,91.0,72,SLC,STL,1156,4.0,31.0,0,N,0
190,949,910,980,960,52,2,WN,2785,N371SW,91.0,110.0,79.0,20.0,39,BWI,BNA,588,6.0,6.0,0,N,0
228,1262,1255,1318,1300,53,5,MQ,3447,N636AE,56.0,45.0,30.0,18.0,7,DFW,ABI,158,8.0,18.0,0,N,0
21,1015,1000,1212,1213,54,1,9E,3717,80199E,137.0,153.0,118.0,-1.0,15,OKC,DTW,900,7.0,12.0,0,N,0
272,946,925,1005,990,55,7,WN,1326,N787SA,59.0,65.0,42.0,15.0,21,MDW,STL,251,3.0,14.0,0,N,0
322,1040,1030,1112,1140,56,1,AA,1355,N576AA,192.0,230.0,177.0,-28.0,10,DFW,SJC,1438,4.0,11.0,0,N,0
194,957,945,1255,1265,57,6,WN,581,N467WN,178.0,200.0,157.0,-10.0,12,LAS,STL,1372,4.0,17.0,0,N,0
315,893,805,1084,995,58,1,AA,569,N3BSAA,251.0,250.0,220.0,89.0,88,BDL,DFW,1471,15.0,16.0,0,N,0
346,652,640,804,802,59,4,FL,659,N896AT,152.0,162.0,138.0,2.0,12,PBI,HPN,1057,6.0,8.0,0,N,0
302,828,805,934,895,60,2,MQ,4790,N702MQ,106.0,90.0,50.0,39.0,23,DCA,LGA,214,4.0,52.0,0,N,0
362,1168,1125,1319,1290,61,6,AA,1561,N642AA,271.0,285.0,247.0,29.0,43,ORD,SFO,1846,3.0,21.0,0,N,0
171,1104,1055,1231,1185,62,4,WN,3398,N618WN,127.0,130.0,110.0,46.0,49,SEA,SJC,697,3.0,14.0,0,N,0
219,583,575,791,769,63,3,B6,99,N639JB,388.0,374.0,330.0,22.0,8,JFK,OAK,2576,6.0,52.0,0,N,0
14,1015,1005,1127,1145,64,1,AA,1763,N5EGAA,232.0,260.0,215.0,-18.0,10,ORD,SNA,1726,4.0,13.0,0,N,0
114,1089,1080,1145,1140,65,3,WN,47,N651SW,56.0,60.0,46.0,5.0,9,DAL,HOU,239,2.0,8.0,0,N,0
51,1010,905,1094,975,66,3,MQ,3106,N807AE,84.0,70.0,48.0,119.0,105,LAS,LAX,236,5.0,31.0,0,N,0
112,608,595,793,785,67,1,MQ,4282,N844AE,125.0,130.0,106.0,8.0,13,ORD,BDL,783,3.0,16.0,0,N,0
177,743,710,882,835,68,3,MQ,4189,N670AE,139.0,125.0,99.0,47.0,33,ORD,OKC,693,4.0,36.0,0,N,0
182,1150,1125,1249,1226,69,1,DL,1652,N669DN,99.0,101.0,62.0,23.0,25,ATL,RIC,481,7.0,30.0,0,N,0
237,925,866,1021,964,70,7,DL,813,N949DL,96.0,98.0,74.0,57.0,59,ATL,RSW,515,4.0,18.0,0,N,0
189,975,960,1078,1070,71,1,WN,3568,N253WN,223.0,230.0,201.0,8.0,15,MCO,DEN,1545,5.0,17.0,0,N,0
250,880,870,1022,1010,72,6,WN,1019,N211WN,82.0,80.0,60.0,12.0,10,DEN,OMA,472,4.0,18.0,0,N,0
290,901,885,991,978,73,4,DL,108,N616DL,90.0,93.0,58.0,13.0,16,MCO,ATL,403,12.0,20.0,0,N,0
365,366,360,475,471,74,2,EV,5455,N980EV,109.0,111.0,78.0,4.0,6,FWA,ATL,508,10.0,21.0,0,N,0
88,1149,1135,1383,1366,75,5,CO,658,N33714,174.0,171.0,147.0,17.0,14,IAH,DCA,1208,6.0,21.0,0,N,0
265,657,650,745,745,76,7,OO,6406,N948SW,88.0,95.0,70.0,0.0,7,SFO,EUG,451,4.0,14.0,0,N,0
137,1088,1035,1154,1110,77,5,WN,1997,N509SW,66.0,75.0,51.0,44.0,53,SAN,PHX,304,4.0,11.0,0,N,0
199,763,745,945,930,78,4,OH,5480,N679CA,182.0,185.0,154.0,15.0,18,MIA,JFK,1090,7.0,21.0,0,N,0
133,555,530,692,677,79,1,XE,2641,N14148,197.0,207.0,157.0,15.0,25,EWR,MCI,1092,3.0,37.0,0,N,0
326,617,610,841,830,80,5,CO,788,N37274,164.0,160.0,144.0,11.0,7,IAH,DTW,1076,9.0,11.0,0,N,0
173,979,960,1137,1095,81,6,AA,295,N390AA,218.0,195.0,187.0,42.0,19,MIA,ORD,1197,10.0,21.0,0,N,0
366,1427,1405,605,590,82,3,AA,254,N641AA,378.0,385.0,356.0,15.0,22,LAX,SJU,3386,6.0,16.0,0,N,0
154,688,661,793,772,83,1,F9,272,N925FR,105.0,111.0,87.0,21.0,27,BOI,DEN,649,7.0,11.0,0,N,0
301,1096,955,1201,1085,84,1,MQ,4896,N721MQ,105.0,130.0,70.0,116.0,141,CLT,LGA,544,9.0,26.0,0,N,0
5,515,500,621,584,85,6,F9,262,N931FR,166.0,144.0,139.0,37.0,15,DEN,SNA,846,5.0,22.0,0,N,0
361,795,780,855,840,86,5,WN,27,N675AA,60.0,60.0,50.0,15.0,15,DAL,HOU,239,4.0,6.0,0,N,0
11,555,545,652,627,87,5,OH,5642,N447CA,97.0,82.0,60.0,25.0,10,CVG,RIC,413,7.0,30.0,0,N,0
164,637,630,690,690,88,4,WN,17,N307SW,53.0,60.0,44.0,0.0,7,DAL,HOU,239,4.0,5.0,0,N,0
189,980,940,1078,1035,89,1,AA,685,N3BHAA,158.0,155.0,134.0,43.0,40,MIA,IAH,964,13.0,11.0,0,N,0
122,1300,1280,1340,1327,90,4,NW,1175,N776NC,40.0,47.0,27.0,13.0,20,MSP,DLH,144,5.0,8.0,0,N,0
252,799,778,870,866,91,1,UA,65,N423UA,71.0,88.0,59.0,4.0,21,SNA,SFO,372,3.0,9.0,0,N,0
